商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
美素,1.11,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,9.9,683009
美素,1.35,荷兰,进口,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,9.9,683009
惠氏,1.13,爱尔兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,30,605775
美素,1.12,荷兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,28,605775
诺优能,0.88,荷兰,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,25.8,605775
惠氏,1.16,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,19.9,605775
美赞臣,1.03,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,15,605775
雅培,1.11,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,36,401183
惠氏,1.13,爱尔兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,1段,36,401183
惠氏,1.41,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,40,378557
雅培,1.38,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,43,348286
诺优能,0.98,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,43,348286
惠氏,3.73,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,43.5,340457
爱他美,0.9,德国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,45,338432
惠氏,1.41,澳洲/新西兰,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,45,338431
美素,0.54,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,45,338429
惠氏,1.12,爱尔兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,47,338428
爱他美,0.9,德国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,45,338428
雅培,1.08,中国大陆,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,47,257920
惠氏,1.09,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,49,223077
美素,1.12,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,49,223077
合生元,1.2,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,50,190565
美赞臣,1.03,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,49,190565
合生元,1.18,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,53,177168
爱睿惠,1.09,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,50.5,177168
贝因美,1.22,爱尔兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,53,151379
惠氏,1.4,澳洲/新西兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,53,151379
雅培,1.12,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,54,139487
雅培,1.38,中国大陆,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,54,139487
贝因美,1.23,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,56,113008
多美滋,1.35,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,59,113007
