时间,上证指数
1/4/2016,3296.258
1/5/2016,3287.711
1/6/2016,3361.84
1/7/2016,3125.002
1/8/2016,3186.412
1/11/2016,3016.704
1/12/2016,3022.861
1/13/2016,2949.597
1/14/2016,3007.649
1/15/2016,2900.97
1/18/2016,2913.8367
1/19/2016,3007.7393
1/20/2016,2976.6938
1/21/2016,2880.4816
1/22/2016,2916.5624
1/25/2016,2938.5149
1/26/2016,2749.7854
1/27/2016,2735.5578
1/28/2016,2655.6609
1/29/2016,2737.5996
2/1/2016,2688.8536
2/2/2016,2749.5703
2/3/2016,2739.2469
2/4/2016,2781.0227
2/5/2016,2763.492
2/15/2016,2746.1958
2/16/2016,2836.5705
2/17/2016,2867.3379
2/18/2016,2862.8927
2/19/2016,2860.0208
2/22/2016,2927.175
2/23/2016,2903.3313
2/24/2016,2928.896
2/25/2016,2741.2454
2/26/2016,2767.2097
2/29/2016,2687.9788
3/1/2016,2733.17
3/2/2016,2849.6811
3/3/2016,2859.7582
3/4/2016,2874.1468
3/7/2016,2897.3395
3/8/2016,2901.387
3/9/2016,2862.556
3/10/2016,2804.7255
3/11/2016,2810.3074
3/14/2016,2859.499
3/15/2016,2864.3684
3/16/2016,2870.43
3/17/2016,2904.8319
3/18/2016,2955.1498
3/21/2016,3018.8017
3/22/2016,2999.3628
3/23/2016,3009.9604
3/24/2016,2960.9704
3/25/2016,2979.4343
3/28/2016,2957.82
3/29/2016,2919.8318
3/30/2016,3000.6449
3/31/2016,3003.9152
4/1/2016,3009.5298
4/5/2016,3053.0654
4/6/2016,3050.592
4/7/2016,3008.42
4/8/2016,2984.9582
4/11/2016,3033.957
4/12/2016,3023.6464
4/13/2016,3066.6381
4/14/2016,3082.3615
4/15/2016,3078.1166
4/18/2016,3033.6604
4/19/2016,3042.8232
4/20/2016,2972.5837
4/21/2016,2952.8911
4/22/2016,2959.24
4/25/2016,2946.6704
4/26/2016,2964.6997
4/27/2016,2953.6709
4/28/2016,2945.5886
4/29/2016,2938.3235
5/3/2016,2992.6432
5/4/2016,2991.2721
5/5/2016,2997.8416
5/6/2016,2913.2476
5/9/2016,2832.1125
5/10/2016,2832.5912
5/11/2016,2837.0372
5/12/2016,2835.8618
5/13/2016,2827.1087
5/16/2016,2850.8617
5/17/2016,2843.6841
5/18/2016,2807.5141
5/19/2016,2806.9061
5/20/2016,2825.4831
5/23/2016,2843.645
5/24/2016,2821.6663
5/25/2016,2815.0863
5/26/2016,2822.4429
5/27/2016,2821.046
5/30/2016,2822.4509
5/31/2016,2916.616
6/1/2016,2913.5077
6/2/2016,2925.2293
6/3/2016,2938.682
6/6/2016,2934.0979
6/7/2016,2936.0449
6/8/2016,2927.159
6/13/2016,2833.0707
6/14/2016,2842.1886
6/15/2016,2887.2101
6/16/2016,2872.8166
6/17/2016,2885.105
6/20/2016,2888.8091
6/21/2016,2878.5575
6/22/2016,2905.5495
6/23/2016,2891.9602
